Zip Code,Total
ZCTA5 46001,10676
ZCTA5 46011,17078
ZCTA5 46012,19108
ZCTA5 46013,18288
ZCTA5 46016,17686
ZCTA5 46017,5930
ZCTA5 46030,3161
ZCTA5 46031,2211
ZCTA5 46032,50477
ZCTA5 46033,39002
ZCTA5 46034,7316
ZCTA5 46035,1130
ZCTA5 46036,11247
ZCTA5 46037,47264
ZCTA5 46038,42694
ZCTA5 46039,725
ZCTA5 46040,16669
ZCTA5 46041,24120
ZCTA5 46044,2912
ZCTA5 46045,125
ZCTA5 46047,25
ZCTA5 46048,2035
ZCTA5 46049,840
ZCTA5 46050,1672
ZCTA5 46051,2811
ZCTA5 46052,22783
ZCTA5 46055,14969
ZCTA5 46056,2359
ZCTA5 46057,999
ZCTA5 46058,2257
ZCTA5 46060,45073
ZCTA5 46062,38915
ZCTA5 46063,298
ZCTA5 46064,16908
ZCTA5 46065,3422
ZCTA5 46068,2583
ZCTA5 46069,7012
ZCTA5 46070,2211
ZCTA5 46071,3373
ZCTA5 46072,9095
ZCTA5 46074,42598
ZCTA5 46075,7728
ZCTA5 46076,1534
ZCTA5 46077,33969
ZCTA5 46102,503
ZCTA5 46103,354
ZCTA5 46104,860
ZCTA5 46105,1775
ZCTA5 46106,8672
ZCTA5 46107,12994
ZCTA5 46110,505
ZCTA5 46111,515
ZCTA5 46112,41562
ZCTA5 46113,15915
ZCTA5 46115,1952
ZCTA5 46117,689
ZCTA5 46118,4903
ZCTA5 46120,5891
ZCTA5 46121,5090
ZCTA5 46122,16448
ZCTA5 46123,40788
ZCTA5 46124,7891
ZCTA5 46125,32
ZCTA5 46126,4613
ZCTA5 46127,304
ZCTA5 46128,2111
ZCTA5 46130,2491
ZCTA5 46131,32869
ZCTA5 46133,794
ZCTA5 46135,19869
ZCTA5 46140,41708
ZCTA5 46142,32052
ZCTA5 46143,62618
ZCTA5 46144,207
ZCTA5 46146,144
ZCTA5 46147,2681
ZCTA5 46148,4859
ZCTA5 46149,1894
ZCTA5 46150,750
ZCTA5 46151,32335
ZCTA5 46154,126
ZCTA5 46155,81
ZCTA5 46156,1497
ZCTA5 46157,4074
ZCTA5 46158,23895
ZCTA5 46160,6409
ZCTA5 46161,2576
ZCTA5 46162,516
ZCTA5 46163,13489
ZCTA5 46164,4324
ZCTA5 46165,1562
ZCTA5 46166,2374
ZCTA5 46167,7018
ZCTA5 46168,37681
ZCTA5 46170,39
ZCTA5 46171,1779
ZCTA5 46172,2372
ZCTA5 46173,10591
ZCTA5 46175,549
ZCTA5 46176,28401
ZCTA5 46180,993
ZCTA5 46181,5280
ZCTA5 46182,2005
ZCTA5 46183,130
ZCTA5 46184,13023
ZCTA5 46186,1708
ZCTA5 46201,31408
ZCTA5 46202,22217
ZCTA5 46203,38224
ZCTA5 46204,9086
ZCTA5 46205,27531
ZCTA5 46206,6
ZCTA5 46208,23996
ZCTA5 46214,26314
ZCTA5 46216,2343
ZCTA5 46217,34725
ZCTA5 46218,30400
ZCTA5 46219,36556
ZCTA5 46220,36078
ZCTA5 46221,27991
ZCTA5 46222,37185
ZCTA5 46224,38822
ZCTA5 46225,6503
ZCTA5 46226,43997
ZCTA5 46227,62126
ZCTA5 46228,15824
