GEO_ID,NAME,P2_001N,P2_002N,P2_003N,P2_004N,
Geography,Geographic Area Name, !!Total:, !!Total:!!Urban, !!Total:!!Rural, !!Total:!!Not defined for this file,Predominant Type
860Z200US46001,ZCTA5 46001,10676,6293,4383,0,Urban
860Z200US46011,ZCTA5 46011,17078,11752,5326,0,Urban
860Z200US46012,ZCTA5 46012,19108,16733,2375,0,Urban
860Z200US46013,ZCTA5 46013,18288,17431,857,0,Urban
860Z200US46016,ZCTA5 46016,17686,17686,0,0,Urban
860Z200US46017,ZCTA5 46017,5930,4064,1866,0,Urban
860Z200US46030,ZCTA5 46030,3161,1568,1593,0,Rural
860Z200US46031,ZCTA5 46031,2211,0,2211,0,Rural
860Z200US46032,ZCTA5 46032,50477,50477,0,0,Urban
860Z200US46033,ZCTA5 46033,39002,38918,84,0,Urban
860Z200US46034,ZCTA5 46034,7316,5606,1710,0,Urban
860Z200US46035,ZCTA5 46035,1130,0,1130,0,Rural
860Z200US46036,ZCTA5 46036,11247,9199,2048,0,Urban
860Z200US46037,ZCTA5 46037,47264,47072,192,0,Urban
860Z200US46038,ZCTA5 46038,42694,42674,20,0,Urban
860Z200US46039,ZCTA5 46039,725,0,725,0,Rural
860Z200US46040,ZCTA5 46040,16669,14156,2513,0,Urban
860Z200US46041,ZCTA5 46041,24120,16775,7345,0,Urban
860Z200US46044,ZCTA5 46044,2912,0,2912,0,Rural
860Z200US46045,ZCTA5 46045,125,0,125,0,Rural
860Z200US46047,ZCTA5 46047,25,0,25,0,Rural
860Z200US46048,ZCTA5 46048,2035,2035,0,0,Urban
860Z200US46049,ZCTA5 46049,840,0,840,0,Rural
860Z200US46050,ZCTA5 46050,1672,0,1672,0,Rural
860Z200US46051,ZCTA5 46051,2811,0,2811,0,Rural
860Z200US46052,ZCTA5 46052,22783,16534,6249,0,Urban
860Z200US46055,ZCTA5 46055,14969,13730,1239,0,Urban
860Z200US46056,ZCTA5 46056,2359,0,2359,0,Rural
860Z200US46057,ZCTA5 46057,999,0,999,0,Rural
860Z200US46058,ZCTA5 46058,2257,0,2257,0,Rural
860Z200US46060,ZCTA5 46060,45073,40366,4707,0,Urban
860Z200US46062,ZCTA5 46062,38915,37008,1907,0,Urban
860Z200US46063,ZCTA5 46063,298,298,0,0,Urban
860Z200US46064,ZCTA5 46064,16908,11804,5104,0,Urban
860Z200US46065,ZCTA5 46065,3422,0,3422,0,Rural
860Z200US46068,ZCTA5 46068,2583,121,2462,0,Rural
860Z200US46069,ZCTA5 46069,7012,81,6931,0,Rural
860Z200US46070,ZCTA5 46070,2211,0,2211,0,Rural
860Z200US46071,ZCTA5 46071,3373,0,3373,0,Rural
860Z200US46072,ZCTA5 46072,9095,5668,3427,0,Urban
860Z200US46074,ZCTA5 46074,42598,40697,1901,0,Urban
860Z200US46075,ZCTA5 46075,7728,6555,1173,0,Urban
860Z200US46076,ZCTA5 46076,1534,0,1534,0,Rural
860Z200US46077,ZCTA5 46077,33969,29712,4257,0,Urban
860Z200US46102,ZCTA5 46102,503,0,503,0,Rural
860Z200US46103,ZCTA5 46103,354,0,354,0,Rural
860Z200US46104,ZCTA5 46104,860,0,860,0,Rural
860Z200US46105,ZCTA5 46105,1775,0,1775,0,Rural
860Z200US46106,ZCTA5 46106,8672,6826,1846,0,Urban
860Z200US46107,ZCTA5 46107,12994,12994,0,0,Urban
860Z200US46110,ZCTA5 46110,505,0,505,0,Rural
860Z200US46111,ZCTA5 46111,515,515,0,0,Urban
860Z200US46112,ZCTA5 46112,41562,37985,3577,0,Urban
860Z200US46113,ZCTA5 46113,15915,14917,998,0,Urban
860Z200US46115,ZCTA5 46115,1952,0,1952,0,Rural
860Z200US46117,ZCTA5 46117,689,0,689,0,Rural
860Z200US46118,ZCTA5 46118,4903,0,4903,0,Rural
860Z200US46120,ZCTA5 46120,5891,0,5891,0,Rural
860Z200US46121,ZCTA5 46121,5090,0,5090,0,Rural
860Z200US46122,ZCTA5 46122,16448,10706,5742,0,Urban
860Z200US46123,ZCTA5 46123,40788,39940,848,0,Urban
860Z200US46124,ZCTA5 46124,7891,5341,2550,0,Urban
860Z200US46125,ZCTA5 46125,32,0,32,0,Rural
860Z200US46126,ZCTA5 46126,4613,0,4613,0,Rural
